DEPT,NPHI_ED,CALI,PHIE:1,NEUT,SP:1,SWE,RES,RHOB:1,VSH,PHIE:2,GR,SP:2,RHOB:2,Well
6145.0,0.295,14.35,0.047,60.8,39.39,1.0,1.83,2.399,0.860566,0.047,70.17,39.39,2.399,Project_well_logs/TMG-1-logs
6146.0,0.297,14.06,0.064,56.7,37.37,1.0,1.7,2.369,0.898679,0.064,70.47,37.37,2.369,Project_well_logs/TMG-1-logs
6147.0,0.298,13.89,0.117,52.8,36.16,1.0,1.59,2.312,0.92151,0.117,66.75,36.16,2.312,Project_well_logs/TMG-1-logs
6148.0,0.299,13.77,0.118,52.2,35.59,1.0,1.52,2.305,0.932264,0.118,67.46,35.59,2.305,Project_well_logs/TMG-1-logs
6149.0,0.298,13.97,0.106,54.8,35.37,1.0,1.49,2.315,0.936415,0.106,68.7,35.37,2.315,Project_well_logs/TMG-1-logs
6150.0,0.296,14.01,0.075,58.9,35.37,1.0,1.48,2.355,0.936415,0.075,69.97,35.37,2.355,Project_well_logs/TMG-1-logs
6151.0,0.294,14.04,0.064,62.8,35.33,1.0,1.48,2.379,0.991714,0.064,69.42,35.33,2.379,Project_well_logs/TMG-1-logs
6152.0,0.292,14.11,0.069,66.5,35.33,1.0,1.48,2.389,0.96,0.069,67.2,35.33,2.389,Project_well_logs/TMG-1-logs
6153.0,0.291,14.16,0.073,68.7,35.36,1.0,1.49,2.377,0.967714,0.073,67.74,35.36,2.377,Project_well_logs/TMG-1-logs
6154.0,0.294,14.18,0.067,63.6,35.37,1.0,1.51,2.385,0.973286,0.067,68.13,35.37,2.385,Project_well_logs/TMG-1-logs
6155.0,0.297,14.17,0.075,56.7,35.33,1.0,1.51,2.371,0.974143,0.075,68.19,35.33,2.371,Project_well_logs/TMG-1-logs
6156.0,0.301,14.08,0.102,47.5,35.25,1.0,1.52,2.35,0.930857,0.102,65.16,35.25,2.35,Project_well_logs/TMG-1-logs
6157.0,0.303,14.01,0.099,42.9,34.98,1.0,1.51,2.366,0.906571,0.099,63.46,34.98,2.366,Project_well_logs/TMG-1-logs
6158.0,0.299,14.13,0.108,51.5,34.49,1.0,1.51,2.355,0.899429,0.108,62.96,34.49,2.355,Project_well_logs/TMG-1-logs
6159.0,0.298,14.26,0.115,54.4,34.06,1.0,1.5,2.336,0.912857,0.115,63.9,34.06,2.336,Project_well_logs/TMG-1-logs
6160.0,0.299,14.31,0.111,52.6,33.83,1.0,1.5,2.335,0.93,0.111,65.1,33.83,2.335,Project_well_logs/TMG-1-logs
6161.0,0.304,14.33,0.094,41.5,33.98,1.0,1.49,2.347,0.960286,0.094,67.22,33.98,2.347,Project_well_logs/TMG-1-logs
6162.0,0.308,14.35,0.079,31.8,34.29,1.0,1.49,2.36,0.981143,0.079,68.68,34.29,2.36,Project_well_logs/TMG-1-logs
6163.0,0.309,14.35,0.086,29.4,34.71,1.0,1.49,2.348,0.981857,0.086,68.73,34.71,2.348,Project_well_logs/TMG-1-logs
6164.0,0.306,14.31,0.124,37.7,34.84,1.0,1.49,2.325,0.904,0.124,63.28,34.84,2.325,Project_well_logs/TMG-1-logs
6165.0,0.302,14.22,0.123,46.0,34.84,1.0,1.49,2.329,0.898857,0.123,62.92,34.84,2.329,Project_well_logs/TMG-1-logs
6166.0,0.298,14.05,0.105,52.8,34.61,1.0,1.49,2.355,0.907714,0.105,63.54,34.61,2.355,Project_well_logs/TMG-1-logs
6167.0,0.296,14.09,0.102,58.7,34.29,1.0,1.49,2.358,0.914143,0.102,63.99,34.29,2.358,Project_well_logs/TMG-1-logs
6168.0,0.293,14.11,0.1,64.4,34.15,1.0,1.48,2.358,0.919286,0.1,64.35,34.15,2.358,Project_well_logs/TMG-1-logs
