DEPT,NPHI_ED,CALI,PHIE:1,NEUT,SP:1,SWE,RES,RHOB:1,VSH,PHIE:2,GR,SP:2,RHOB:2,WELL
8850.0,0.301,0.0,0.609,46.8,53.97,1.0,1.71,0.0,0.872,0.609,74.12,53.97,0.0,TMG-1-logs.las
8851.0,0.297,0.0,0.608,56.0,53.59,1.0,1.72,0.0,0.872235,0.608,74.14,53.59,0.0,TMG-1-logs.las
8852.0,0.29,0.0,0.602,71.8,53.34,1.0,1.73,0.0,0.878941,0.602,74.71,53.34,0.0,TMG-1-logs.las
8853.0,0.286,0.0,0.597,80.4,53.22,1.0,1.74,0.0,0.885294,0.597,75.25,53.22,0.0,TMG-1-logs.las
8854.0,0.287,0.0,0.596,78.4,53.26,1.0,1.76,0.0,0.887412,0.596,75.43,53.26,0.0,TMG-1-logs.las
8855.0,0.296,0.0,0.602,59.2,53.57,1.0,1.76,0.0,0.881412,0.602,74.92,53.57,0.0,TMG-1-logs.las
8856.0,0.299,0.0,0.606,50.5,53.93,1.0,1.76,0.0,0.875176,0.606,74.39,53.93,0.0,TMG-1-logs.las
8857.0,0.296,0.0,0.612,57.9,54.13,1.0,1.76,0.0,0.865294,0.612,73.55,54.13,0.0,TMG-1-logs.las
8858.0,0.291,0.0,0.612,69.6,54.23,1.0,1.75,0.0,0.862353,0.612,73.3,54.23,0.0,TMG-1-logs.las
8859.0,0.287,0.0,0.602,78.6,54.32,1.0,1.73,0.0,0.877882,0.602,74.62,54.32,0.0,TMG-1-logs.las
8860.0,0.284,0.0,0.596,84.3,54.42,1.0,1.68,0.0,0.887059,0.596,75.4,54.42,0.0,TMG-1-logs.las
8861.0,0.285,0.0,0.591,82.4,54.48,1.0,1.63,0.0,0.894118,0.591,76.0,54.48,0.0,TMG-1-logs.las
8862.0,0.288,0.0,0.583,75.2,54.44,1.0,1.59,0.0,0.906353,0.583,77.04,54.44,0.0,TMG-1-logs.las
8863.0,0.291,0.0,0.575,68.9,54.44,1.0,1.58,0.0,0.917412,0.575,77.98,54.44,0.0,TMG-1-logs.las
8864.0,0.294,0.0,0.576,61.5,54.44,1.0,1.69,0.0,0.917647,0.576,78.0,54.44,0.0,TMG-1-logs.las
8865.0,0.298,0.0,0.587,52.9,54.44,1.0,1.8,0.0,0.903176,0.587,76.77,54.44,0.0,TMG-1-logs.las
8866.0,0.303,0.0,0.629,43.9,54.33,1.0,1.89,0.0,0.835882,0.629,71.05,54.33,0.0,TMG-1-logs.las
8867.0,0.305,0.0,0.637,39.3,54.25,1.0,1.89,0.0,0.818823,0.637,69.6,54.25,0.0,TMG-1-logs.las
8868.0,0.306,0.0,0.615,37.0,54.21,1.0,1.83,0.0,0.862823,0.615,73.34,54.21,0.0,TMG-1-logs.las
8869.0,0.304,0.0,0.6,41.4,54.13,1.0,1.69,0.0,0.887177,0.6,75.41,54.13,0.0,TMG-1-logs.las
8870.0,0.296,0.0,0.59,58.7,54.04,1.0,1.59,0.0,0.899294,0.59,76.44,54.04,0.0,TMG-1-logs.las
8871.0,0.292,0.0,0.586,67.7,53.95,1.0,1.54,0.0,0.902588,0.586,76.72,53.95,0.0,TMG-1-logs.las
8872.0,0.29,0.0,0.59,70.7,53.86,1.0,1.53,0.0,0.896588,0.59,76.21,53.86,0.0,TMG-1-logs.las
8873.0,0.297,0.0,0.603,56.9,53.79,1.0,1.54,0.0,0.88,0.603,74.8,53.79,0.0,TMG-1-logs.las
8874.0,0.308,0.0,0.615,32.2,53.75,1.0,1.56,0.0,0.862941,0.615,73.35,53.75,0.0,TMG-1-logs.las
8875.0,0.321,0.0,0.631,4.9,53.75,1.0,1.57,0.0,0.840353,0.631,71.43,53.75,0.0,TMG-1-logs.las
8876.0,0.324,0.0,0.648,0.3,53.71,1.0,1.56,0.0,0.804824,0.648,68.41,53.71,0.0,TMG-1-logs.las
8877.0,0.325,0.0,0.655,98.4,53.64,1.0,1.56,0.0,0.787765,0.655,66.96,53.64,0.0,TMG-1-logs.las
8878.0,0.324,0.0,0.659,99.2,53.53,1.0,1.57,0.0,0.778118,0.659,66.14,53.53,0.0,TMG-1-logs.las
8879.0,0.314,0.0,0.654,19.1,53.37,1.0,1.61,0.0,0.785294,0.654,66.75,53.37,0.0,TMG-1-logs.las
8880.0,0.292,0.0,0.621,66.7,52.92,1.0,1.7,0.0,0.846353,0.621,71.94,52.92,0.0,TMG-1-logs.las
8881.0,0.288,0.0,0.601,75.2,52.67,1.0,1.81,0.0,0.879647,0.601,74.77,52.67,0.0,TMG-1-logs.las
8882.0,0.285,0.0,0.588,81.9,52.62,1.0,1.8,0.0,0.898941,0.588,76.41,52.62,0.0,TMG-1-logs.las
8883.0,0.282,0.0,0.578,89.1,52.77,1.0,1.74,0.0,0.911882,0.578,77.51,52.77,0.0,TMG-1-logs.las
8884.0,0.28,0.0,0.578,95.2,53.05,1.0,1.7,0.0,0.910824,0.578,77.42,53.05,0.0,TMG-1-logs.las
8885.0,0.277,0.0,0.583,1.8,53.33,1.0,1.66,0.0,0.903412,0.583,76.79,53.33,0.0,TMG-1-logs.las
8886.0,0.274,0.0,0.592,7.9,53.63,1.0,1.64,0.0,0.890353,0.592,75.68,53.63,0.0,TMG-1-logs.las
8887.0,0.275,0.0,0.604,5.2,53.98,1.0,1.69,0.0,0.871647,0.604,74.09,53.98,0.0,TMG-1-logs.las
8888.0,0.287,0.0,0.617,77.5,54.32,1.0,1.75,0.0,0.853529,0.617,72.55,54.32,0.0,TMG-1-logs.las
8889.0,0.289,0.0,0.623,73.4,54.38,1.0,1.83,0.0,0.842941,0.623,71.65,54.38,0.0,TMG-1-logs.las
8890.0,0.284,0.0,0.617,84.9,54.23,1.0,1.88,0.0,0.851412,0.617,72.37,54.23,0.0,TMG-1-logs.las
8891.0,0.28,0.0,0.604,94.5,54.05,1.0,1.79,0.0,0.872588,0.604,74.17,54.05,0.0,TMG-1-logs.las
8892.0,0.279,0.0,0.59,96.9,53.77,1.0,1.71,0.0,0.894118,0.59,76.0,53.77,0.0,TMG-1-logs.las
8893.0,0.282,0.0,0.579,89.5,53.98,1.0,1.65,0.0,0.909882,0.579,77.34,53.98,0.0,TMG-1-logs.las
8894.0,0.287,0.0,0.565,78.4,54.56,1.0,1.61,0.0,0.928353,0.565,78.91,54.56,0.0,TMG-1-logs.las
8895.0,0.29,0.0,0.554,70.2,54.66,1.0,1.58,0.0,0.941412,0.554,80.02,54.66,0.0,TMG-1-logs.las
8896.0,0.29,0.0,0.554,70.6,54.39,1.0,1.57,0.0,0.954235,0.554,81.11,54.39,0.0,TMG-1-logs.las
8897.0,0.285,0.0,0.553,82.1,53.94,1.0,1.57,0.0,0.954,0.553,81.09,53.94,0.0,TMG-1-logs.las
8898.0,0.282,0.0,0.56,89.0,53.88,1.0,1.59,0.0,0.932941,0.56,79.3,53.88,0.0,TMG-1-logs.las
8899.0,0.285,0.0,0.594,83.1,54.16,1.0,1.6,0.0,0.889882,0.594,75.64,54.16,0.0,TMG-1-logs.las
8900.0,0.287,0.0,0.61,79.0,54.24,1.0,1.62,0.0,0.863882,0.61,73.43,54.24,0.0,TMG-1-logs.las
8901.0,0.286,0.0,0.596,81.4,54.2,1.0,1.66,0.0,0.886706,0.596,75.37,54.2,0.0,TMG-1-logs.las
8902.0,0.284,0.0,0.589,84.5,54.16,1.0,1.54,0.0,0.897059,0.589,76.25,54.16,0.0,TMG-1-logs.las
8903.0,0.285,0.0,0.587,82.4,54.12,1.0,1.54,0.0,0.899765,0.587,76.48,54.12,0.0,TMG-1-logs.las
8904.0,0.286,0.0,0.596,81.4,53.97,1.0,1.55,0.0,0.887412,0.596,75.43,53.97,0.0,TMG-1-logs.las
8905.0,0.287,0.0,0.584,79.1,54.01,1.0,1.56,0.0,0.905177,0.584,76.94,54.01,0.0,TMG-1-logs.las
8906.0,0.285,0.0,0.583,81.9,54.05,1.0,1.57,0.0,0.905529,0.583,76.97,54.05,0.0,TMG-1-logs.las
8907.0,0.284,0.0,0.556,84.2,54.1,1.0,1.59,0.0,0.938588,0.556,79.78,54.1,0.0,TMG-1-logs.las
8908.0,0.283,0.0,0.556,86.3,54.17,1.0,1.62,0.0,0.938353,0.556,79.76,54.17,0.0,TMG-1-logs.las
8909.0,0.285,0.0,0.573,83.3,54.26,1.0,1.64,0.0,0.918706,0.573,78.09,54.26,0.0,TMG-1-logs.las
8910.0,0.286,0.0,0.608,79.9,54.33,1.0,1.66,0.0,0.867529,0.608,73.74,54.33,0.0,TMG-1-logs.las
8911.0,0.29,0.0,0.627,70.4,54.41,1.0,1.68,0.0,0.835412,0.627,71.01,54.41,0.0,TMG-1-logs.las
8912.0,0.294,0.0,0.624,62.1,54.45,1.0,1.7,0.0,0.841059,0.624,71.49,54.45,0.0,TMG-1-logs.las
8913.0,0.296,0.0,0.609,58.9,54.49,1.0,1.73,0.0,0.869412,0.609,73.9,54.49,0.0,TMG-1-logs.las
8914.0,0.292,0.0,0.589,68.1,54.53,1.0,1.75,0.0,0.899059,0.589,76.42,54.53,0.0,TMG-1-logs.las
8915.0,0.284,0.0,0.583,85.0,54.59,1.0,1.79,0.0,0.905529,0.583,76.97,54.59,0.0,TMG-1-logs.las
8916.0,0.276,0.0,0.587,3.9,54.69,1.0,1.84,0.0,0.896823,0.587,76.23,54.69,0.0,TMG-1-logs.las
8917.0,0.271,0.0,0.601,14.7,54.75,1.0,1.89,0.0,0.874588,0.601,74.34,54.75,0.0,TMG-1-logs.las
8918.0,0.268,0.0,0.601,22.2,54.81,1.0,1.94,0.0,0.873412,0.601,74.24,54.81,0.0,TMG-1-logs.las
8919.0,0.264,0.0,0.596,31.3,54.85,1.0,1.99,0.0,0.880353,0.596,74.83,54.85,0.0,TMG-1-logs.las
8920.0,0.261,0.0,0.586,40.1,54.85,1.0,2.07,0.0,0.895294,0.586,76.1,54.85,0.0,TMG-1-logs.las
8921.0,0.261,0.0,0.563,39.6,54.86,1.0,2.16,0.0,0.924824,0.563,78.61,54.86,0.0,TMG-1-logs.las
8922.0,0.268,0.0,0.55,23.5,54.82,1.0,2.28,0.0,0.949882,0.55,80.74,54.82,0.0,TMG-1-logs.las
8923.0,0.273,0.0,0.551,11.4,54.81,1.0,2.39,0.0,0.969412,0.551,82.4,54.81,0.0,TMG-1-logs.las
8924.0,0.279,0.0,0.552,95.8,54.78,1.0,2.53,0.0,0.951765,0.552,80.9,54.78,0.0,TMG-1-logs.las
8925.0,0.275,0.0,0.62,6.8,54.78,1.0,2.68,0.0,0.842471,0.62,71.61,54.78,0.0,TMG-1-logs.las
8926.0,0.271,0.0,0.636,15.8,54.75,1.0,2.06,0.0,0.808,0.636,68.68,54.75,0.0,TMG-1-logs.las
8927.0,0.268,0.0,0.64,22.8,54.71,1.0,1.77,0.0,0.796353,0.64,67.69,54.71,0.0,TMG-1-logs.las
8928.0,0.272,0.0,0.639,11.9,54.71,1.0,1.68,0.0,0.801059,0.639,68.09,54.71,0.0,TMG-1-logs.las
8929.0,0.283,0.0,0.632,87.7,54.71,1.0,1.64,0.0,0.821882,0.632,69.86,54.71,0.0,TMG-1-logs.las
8930.0,0.288,0.0,0.623,76.9,54.71,1.0,1.61,0.0,0.842,0.623,71.57,54.71,0.0,TMG-1-logs.las
8931.0,0.295,0.0,0.625,61.3,54.71,1.0,1.69,0.0,0.839882,0.625,71.39,54.71,0.0,TMG-1-logs.las
8932.0,0.3,0.0,0.635,49.3,54.72,1.0,1.87,0.0,0.821529,0.635,69.83,54.72,0.0,TMG-1-logs.las
8933.0,0.301,0.0,0.629,48.1,54.72,1.0,2.05,0.0,0.834823,0.629,70.96,54.72,0.0,TMG-1-logs.las
8934.0,0.297,0.0,0.609,56.3,54.68,1.0,2.13,0.0,0.87,0.609,73.95,54.68,0.0,TMG-1-logs.las
8935.0,0.291,0.0,0.595,69.5,54.72,1.0,2.1,0.0,0.89,0.595,75.65,54.72,0.0,TMG-1-logs.las
8936.0,0.282,0.0,0.609,90.8,54.72,1.0,1.86,0.0,0.864118,0.609,73.45,54.72,0.0,TMG-1-logs.las
8937.0,0.276,0.0,0.621,2.6,54.72,1.0,1.74,0.0,0.842118,0.621,71.58,54.72,0.0,TMG-1-logs.las
8938.0,0.273,0.0,0.627,10.0,54.73,1.0,1.65,0.0,0.828941,0.627,70.46,54.73,0.0,TMG-1-logs.las
8939.0,0.274,0.0,0.632,8.1,54.73,1.0,1.58,0.0,0.816588,0.632,69.41,54.73,0.0,TMG-1-logs.las
8940.0,0.274,0.0,0.627,7.4,54.73,1.0,1.53,0.0,0.828235,0.627,70.4,54.73,0.0,TMG-1-logs.las
8941.0,0.272,0.0,0.616,12.9,54.69,1.0,1.52,0.0,0.848941,0.616,72.16,54.69,0.0,TMG-1-logs.las
8942.0,0.27,0.0,0.607,18.1,54.65,1.0,1.58,0.0,0.863765,0.607,73.42,54.65,0.0,TMG-1-logs.las
8943.0,0.269,0.0,0.602,20.2,54.58,1.0,1.62,0.0,0.872706,0.602,74.18,54.58,0.0,TMG-1-logs.las
8944.0,0.27,0.0,0.624,17.6,54.52,1.0,1.65,0.0,0.831882,0.624,70.71,54.52,0.0,TMG-1-logs.las
8945.0,0.272,0.0,0.628,13.4,54.48,1.0,1.63,0.0,0.824706,0.628,70.1,54.48,0.0,TMG-1-logs.las
8946.0,0.274,0.0,0.629,8.6,54.45,1.0,1.59,0.0,0.823412,0.629,69.99,54.45,0.0,TMG-1-logs.las
8947.0,0.278,0.0,0.629,99.6,54.43,1.0,1.53,0.0,0.826235,0.629,70.23,54.43,0.0,TMG-1-logs.las
8948.0,0.288,0.0,0.627,76.6,54.42,1.0,1.5,0.0,0.833176,0.627,70.82,54.42,0.0,TMG-1-logs.las
